Местное время в Перевозе;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
18.12.2020 8:00;-25.3;738.7;773.0;;69;Ветер, дующий с северо-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-25.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-29.3;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;8.0
18.12.2020 11:00;-25.4;738.1;772.3;;70;Ветер, дующий с северо-запада;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-29.3;;;;;;
18.12.2020 14:00;-24.5;737.1;771.1;;69;Ветер, дующий с северо-запада;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-28.5;;;;;;
18.12.2020 17:00;-24.8;736.6;770.8;;70;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-28.7;;;;;;
18.12.2020 20:00;-25.1;736.1;770.3;;75;Ветер, дующий с северо-запада;3;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-28.3;Следы осадков;12;;;;
18.12.2020 23:00;-23.5;735.3;769.1;;74;Ветер, дующий с северо-запада;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-26.8;;;;;;
19.12.2020 2:00;-22.8;734.2;768.0;;75;Ветер, дующий с западо-северо-запада;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-26.1;;;;;;
19.12.2020 5:00;-22.1;733.5;767.1;;80;Ветер, дующий с западо-северо-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-24.7;;;;;;
19.12.2020 8:00;-20.4;732.2;765.5;;75;Ветер, дующий с западо-юго-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-23.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-23.7;0.4;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;8.0
19.12.2020 11:00;-16.3;731.1;763.8;;75;Ветер, дующий с северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-19.7;;;;;;
19.12.2020 14:00;-11.0;730.1;762.1;;70;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-15.4;;;;;;
19.12.2020 17:00;-10.1;729.5;761.4;;60;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;;-16.4;;;;;;
19.12.2020 20:00;-8.4;727.9;759.5;;60;Ветер, дующий с запада;2;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-8.4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-14.8;0.4;12;;;;
19.12.2020 23:00;-7.2;726.0;757.3;;64;Ветер, дующий с запада;3;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-13.0;;;;;;
20.12.2020 2:00;-6.8;725.2;756.4;;64;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-12.5;;;;;;
20.12.2020 5:00;-5.8;724.1;755.3;;64;Ветер, дующий с запада;3;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-11.5;;;;;;
20.12.2020 8:00;-4.9;723.1;754.1;;69;Ветер, дующий с запада;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-8.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;;-9.8;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;8.0
20.12.2020 11:00;-4.6;722.5;753.4;;74;Ветер, дующий с запада;2;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;4.0;-8.5;;;;;;
20.12.2020 14:00;-5.6;723.0;754.0;;53;Ветер, дующий с запада;2;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-13.8;;;;;;
20.12.2020 17:00;-8.5;724.7;756.1;;45;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-18.3;;;;;;
20.12.2020 20:00;-9.5;726.0;757.6;;42;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%; ;;;;-4.6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-20.2;0.4;12;;;;
20.12.2020 23:00;-12.6;726.4;758.5;;45;Ветер, дующий с юго-запада;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.1;;;;;;
21.12.2020 2:00;-16.0;726.7;759.1;;50;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-24.0;;;;;;
21.12.2020 5:00;-21.8;727.3;760.6;;65;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-26.6;;;;;;
21.12.2020 8:00;-14.6;727.6;760.0;;55;Ветер, дующий с северо-запада;2;;;20–30%.; ;;;-21.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-21.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;9.0
21.12.2020 11:00;-23.1;728.5;762.0;;69;Ветер, дующий с северо-запада;2;;;20–30%.; ;;;-23.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-27.2;;;;;;
21.12.2020 14:00;-21.4;728.2;761.5;;70;Ветер, дующий с западо-северо-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-25.4;;;;;;
21.12.2020 17:00;-21.7;729.1;762.6;;70;Ветер, дующий с запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;;-25.7;;;;;;
21.12.2020 20:00;-22.5;729.5;763.0;;70;Ветер, дующий с западо-северо-запада;2;;;60%.; ;;;;-14.6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;;-26.5;Осадков нет;12;;;;
21.12.2020 23:00;-22.8;729.9;763.5;;70;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;;-26.8;;;;;;
22.12.2020 2:00;-25.2;730.5;764.4;;70;Ветер, дующий с запада;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-29.1;;;;;;
22.12.2020 5:00;-26.8;731.2;765.4;;70;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-30.7;;;;;;
22.12.2020 8:00;-28.4;732.2;766.6;;80;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;-29.8;;;;;;;;-30.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;9.0
22.12.2020 11:00;-28.4;732.6;767.0;;80;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%; ;;;-30.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-30.8;;;;;;
22.12.2020 14:00;-24.5;732.7;766.6;;75;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, покрывающие все небо.;50.0;-27.7;;;;;;
22.12.2020 17:00;-27.4;733.5;767.8;;80;Ветер, дующий с западо-северо-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-29.8;;;;;;
22.12.2020 20:00;-27.5;734.2;768.5;;79;Ветер, дующий с западо-северо-запада;1;;;20–30%.; ;;;;-24.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-30.0;Осадков нет;12;;;;
22.12.2020 23:00;-28.2;734.1;768.5;;79;Ветер, дующий с северо-запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-30.7;;;;;;
23.12.2020 2:00;-29.4;734.5;769.1;;80;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;-31.8;;;;;;
23.12.2020 5:00;-28.1;734.4;768.9;;80;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;-30.5;;;;;;
23.12.2020 8:00;-28.2;734.6;769.1;;79;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%; ;;;-29.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-30.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;9.0
23.12.2020 11:00;-27.3;734.5;769.0;;79;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-29.8;;;;;;
23.12.2020 17:00;-28.1;734.3;768.8;;75;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-31.2;;;;;;
23.12.2020 20:00;-30.0;734.2;768.9;;75;Штиль, безветрие;0;;;70 – 80%.; ;;;;-25.4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-33.0;Осадков нет;12;;;;
23.12.2020 23:00;-30.4;733.4;768.1;;85;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-32.1;;;;;;
24.12.2020 2:00;-30.9;733.1;768.0;;85;Ветер, дующий с северо-запада;1;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-32.6;;;;;;
24.12.2020 5:00;-30.1;732.8;767.5;;84;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-31.9;;;;;;
24.12.2020 8:00;-33.5;732.6;767.8;;84;Ветер, дующий с западо-северо-запада;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-33.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-35.3;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;9.0
24.12.2020 11:00;-31.9;732.8;767.8;;84;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%; ;;;-34.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-33.7;;;;;;
24.12.2020 14:00;-29.2;733.1;767.7;;75;Ветер, дующий с северо-запада;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-32.2;;;;;;
24.12.2020 17:00;-33.4;733.7;768.9;;75;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-36.3;;;;;;
24.12.2020 20:00;-34.9;734.2;769.7;;75;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;-29.2;;;;;;;;-37.7;Осадков нет;12;;;;
24.12.2020 23:00;-36.9;734.8;770.6;;74;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;-39.8;;;;;;
25.12.2020 2:00;-38.0;735.3;771.3;;74;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-40.9;;;;;;
25.12.2020 5:00;-39.7;735.8;772.3;;76;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;;-42.3;;;;;;
25.12.2020 8:00;-39.8;736.6;773.1;;77;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;-40.1;;;;;;;;-42.2;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;9.0
25.12.2020 11:00;-38.4;736.8;772.9;;78;Ветер, дующий с западо-северо-запада;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-40.8;;;;;;
25.12.2020 14:00;-36.3;736.6;772.4;;81;Ветер, дующий с западо-северо-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-38.4;;;;;;
25.12.2020 20:00;-38.1;737.0;772.9;;79;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;-36.3;;;;;;;-40.3;Осадков нет;12;;;;
26.12.2020 2:00;-40.1;736.7;773.2;;80;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-42.2;;;;;;
26.12.2020 8:00;-39.9;737.2;773.7;;78;Ветер, дующий с западо-северо-запада;2;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-40.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-42.2;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;9.0
26.12.2020 11:00;-37.8;737.4;773.5;;80;Ветер, дующий с западо-северо-запада;2;;;20–30%.;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-39.9;;;;;;
26.12.2020 14:00;-35.5;737.5;773.3;;80;Ветер, дующий с западо-северо-запада;2;;;40%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-37.7;;;;;;
26.12.2020 17:00;-35.0;738.4;774.1;;78;Ветер, дующий с северо-запада;2;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-37.4;;;;;;
26.12.2020 20:00;-36.2;739.2;775.1;;80;Ветер, дующий с северо-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-35.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-38.4;Следы осадков;12;;;;
26.12.2020 23:00;-36.1;739.6;775.6;;79;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-38.4;;;;;;
27.12.2020 2:00;-36.9;740.8;776.9;;80;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-39.1;;;;;;
27.12.2020 5:00;-34.7;741.7;777.6;;79;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-37.1;;;;;;
27.12.2020 8:00;-34.0;742.6;778.4;;83;Ветер, дующий с северо-запада;1;;;90  или более, но не 100%;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-36.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-35.9;0.4;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;9.0
