Местное время в Баяндае;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
16.09.2019 23:00;0.7;700.3;769.4;02.фев;66;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-4.9;;;;;;
17.09.2019 2:00;-0.3;701.3;770.7;1.0;71;Ветер, дующий с северо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-4.9;;;;;;
17.09.2019 5:00;-1.3;702.0;771.7;0.7;84;Ветер, дующий с западо-северо-запада;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-3.7;;;;;;
17.09.2019 8:00;-0.5;702.8;772.4;0.8;80;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;-2.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-3.5;Осадков нет;12;Поверхность почвы замерзшая.;-3.0;;
17.09.2019 11:00;6.0;702.8;770.8;0.0;54;Ветер, дующий с юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-2.7;;;;;;
17.09.2019 14:00;10.0;701.9;768.7;-0.9;44;Ветер, дующий с юга;3;;;Облаков нет.; ;;;;;;;;;;50.0;-1.7;;;;;;
17.09.2019 17:00;12.0;701.0;767.2;-0.9;42;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-0.6;;;;;;
17.09.2019 20:00;06.авг;700.7;768.2;-0.3;66;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;12.мар;;;;;;;0.9;Осадков нет;12;;;;
17.09.2019 23:00;04.янв;700.5;768.6;-0.2;77;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;;0.4;;;;;;
18.09.2019 2:00;02.янв;699.7;768.4;-0.8;85;Ветер, дующий с севера;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-0.2;;;;;;
18.09.2019 5:00;1.0;698.5;767.3;-1.2;87;Ветер, дующий с севера;3;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-1.0;;;;;;
18.09.2019 8:00;0.9;698.5;767.3;0.0;86;Ветер, дующий с северо-северо-востока;3;;;90  или более, но не 100%; ;;;0.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-1.2;Осадков нет;12;Поверхность почвы влажная.;-1.0;;
18.09.2019 11:00;09.фев;698.2;764.8;-0.3;60;Ветер, дующий с востока;1;;;90  или более, но не 100%; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;01.июл;;;;;;
18.09.2019 14:00;17.0;697.1;761.7;-1.1;45;Ветер, дующий с юго-юго-запада;3;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;04.авг;;;;;;
18.09.2019 17:00;18.янв;696.8;761.2;-0.3;39;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";50%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;03.июл;;;;;;
18.09.2019 20:00;13.0;697.5;763.1;0.7;55;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;18.фев;;;;;;;04.фев;Осадков нет;12;;;;
18.09.2019 23:00;07.авг;697.7;764.5;0.2;80;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;04.июн;;;;;;
19.09.2019 2:00;10.0;698.3;764.6;0.6;85;Ветер, дующий с северо-северо-запада;1;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;;07.май;;;;;;
19.09.2019 5:00;9.0;698.7;765.3;0.4;87;Ветер, дующий с западо-северо-запада;2;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;7.0;;;;;;
19.09.2019 8:00;07.апр;699.8;767.0;01.янв;94;Ветер, дующий с юга;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;07.янв;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;06.май;1.0;12;Поверхность почвы влажная.;3.0;;
19.09.2019 11:00;11.0;700.4;766.7;0.6;73;Ветер, дующий с запада;3;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;06.фев;;;;;;
19.09.2019 14:00;12.мар;700.0;766.0;-0.4;67;Ветер, дующий с запада;3;;;70 – 80%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;06.мар;;;;;;
19.09.2019 17:00;12.авг;699.8;765.7;-0.2;59;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;5.0;;;;;;
19.09.2019 20:00;10.мар;700.2;766.6;0.4;66;Ветер, дующий с северо-запада;3;;;40%.; ;;;;13.0;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;04.янв;Осадков нет;12;;;;
19.09.2019 23:00;06.фев;700.5;768.0;0.3;88;Ветер, дующий с западо-юго-запада;1;;;20–30%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;04.мар;;;;;;
20.09.2019 2:00;06.апр;701.0;768.5;0.5;90;Ветер, дующий с западо-северо-запада;1;;;60%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;04.сен;;;;;;
20.09.2019 5:00;04.янв;700.8;768.9;-0.2;97;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;03.июн;;;;;;
20.09.2019 8:00;03.янв;700.4;768.8;-0.4;86;Ветер, дующий с северо-северо-востока;1;;;60%.; ;;;0.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;1.0;Осадков нет;12;Поверхность почвы влажная.;0.0;;
20.09.2019 11:00;13.июл;700.7;766.4;0.3;62;Ветер, дующий с юга;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;06.июн;;;;;;
20.09.2019 14:00;18.апр;699.4;763.9;-1.3;44;Ветер, дующий с юга;2;;;Облаков нет.; ;;;;;;;;;;50.0;05.июл;;;;;;
20.09.2019 17:00;19.сен;698.5;762.6;-0.9;38;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;05.янв;;;;;;
20.09.2019 20:00;12.июл;698.5;764.2;0.0;66;Штиль, безветрие;0;;;10%  или менее, но не 0; ;;;;20.фев;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;06.апр;Осадков нет;12;;;;
20.09.2019 23:00;09.авг;698.5;765.0;0.0;72;Ветер, дующий с северо-востока;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;04.сен;;;;;;
21.09.2019 2:00;08.май;697.5;764.2;-1.0;76;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;04.апр;;;;;;
21.09.2019 5:00;08.май;697.1;763.7;-0.4;78;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;;04.авг;;;;;;
21.09.2019 8:00;10.фев;697.3;763.6;0.2;73;Ветер, дующий с севера;2;;;Облаков нет.; ;;;06.фев;;;;;;;50.0;05.июн;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);4.0;;
21.09.2019 11:00;17.0;697.3;761.9;0.0;51;Ветер, дующий с юга;2;;;Облаков нет.; ;;;;;;;;;;50.0;06.июл;;;;;;
21.09.2019 14:00;21.сен;696.8;760.2;-0.5;38;Ветер, дующий с юга;3;;;Облаков нет.; ;;;;;;;;;;50.0;7.0;;;;;;
21.09.2019 17:00;23.янв;696.7;759.8;-0.1;33;Ветер, дующий с юга;4;;;Облаков нет.; ;;;;;;;;;;50.0;05.сен;;;;;;
21.09.2019 20:00;18.май;696.9;761.1;0.2;44;Ветер, дующий с запада;2;;;20–30%.; ;;;;23.сен;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;06.янв;Осадков нет;12;;;;
21.09.2019 23:00;15.янв;696.9;761.9;0.0;49;Ветер, дующий с западо-юго-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;04.май;;;;;;
22.09.2019 2:00;13.авг;699.3;764.8;02.апр;66;Ветер, дующий с севера;5;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;07.май;;;;;;
22.09.2019 5:00;09.сен;700.6;767.3;01.мар;68;Ветер, дующий с севера;3;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;04.фев;;;;;;
22.09.2019 8:00;09.апр;702.7;769.7;02.янв;66;Ветер, дующий с северо-запада;3;;;90  или более, но не 100%; ;;;09.янв;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;03.мар;Осадков нет;12;;;;
22.09.2019 11:00;11.апр;703.9;770.5;01.фев;59;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;03.июн;;;;;;
22.09.2019 14:00;14.июл;702.9;768.6;-1.0;43;Ветер, дующий с юга;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;02.янв;;;;;;
22.09.2019 17:00;15.сен;702.1;767.5;-0.8;38;Ветер, дующий с юга;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;01.апр;;;;;;
22.09.2019 20:00;11.авг;702.4;768.7;0.3;49;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;16.апр;;;;;;;01.апр;Осадков нет;12;;;;
22.09.2019 23:00;08.сен;702.7;769.8;0.3;51;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;;-0.8;;;;;;
23.09.2019 2:00;06.янв;702.4;770.2;-0.3;59;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;;-1.4;;;;;;
23.09.2019 5:00;02.сен;702.2;770.8;-0.2;74;Ветер, дующий с севера;4;;;Облаков нет.; ;;;;;;;;;;;-1.3;;;;;;
23.09.2019 8:00;03.авг;701.8;770.1;-0.4;71;Ветер, дующий с севера;4;;;90  или более, но не 100%; ;;;02.сен;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-1.0;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);1.0;;
23.09.2019 11:00;10.0;701.3;768.0;-0.5;58;Ветер, дующий с северо-северо-востока;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;02.янв;;;;;;
23.09.2019 14:00;18.июл;699.1;763.6;-2.2;38;Ветер, дующий с востока;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;04.фев;;;;;;
23.09.2019 17:00;19.июн;697.5;761.5;-1.6;37;Ветер, дующий с востоко-юго-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;04.май;;;;;;
23.09.2019 20:00;13.июл;696.9;762.2;-0.6;54;Ветер, дующий с востоко-северо-востока;2;;;20–30%.; ;;;;20.июн;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;04.июн;Осадков нет;12;;;;
23.09.2019 23:00;09.авг;696.2;762.4;-0.7;68;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;04.янв;;;;;;
24.09.2019 2:00;09.апр;695.6;761.9;-0.6;65;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;;03.янв;;;;;;
24.09.2019 5:00;9.0;695.4;761.8;-0.2;68;Ветер, дующий с северо-северо-запада;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;03.мар;;;;;;
24.09.2019 8:00;10.мар;696.7;763.0;01.мар;63;Ветер, дующий с западо-юго-запада;2;;;20–30%.; ;;;06.янв;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;03.июн;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);2.0;;
24.09.2019 11:00;16.апр;697.9;762.7;01.фев;50;Ветер, дующий с юго-юго-запада;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;05.сен;;;;;;
24.09.2019 14:00;19.мар;697.8;761.8;-0.1;48;Ветер, дующий с юга;6;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;8.0;;;;;;
24.09.2019 17:00;20.авг;697.2;760.9;-0.6;44;Ветер, дующий с юго-запада;4;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;8.0;;;;;;
24.09.2019 20:00;16.июл;697.3;761.9;0.1;58;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;21.июл;;;;;;;08.апр;Осадков нет;12;;;;
24.09.2019 23:00;12.июл;697.6;763.3;0.3;74;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;08.фев;;;;;;
25.09.2019 2:00;10.авг;697.1;763.1;-0.5;77;Ветер, дующий с севера;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;06.авг;;;;;;
25.09.2019 5:00;08.мар;696.7;763.3;-0.4;84;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;;05.авг;;;;;;
25.09.2019 8:00;08.фев;696.7;763.4;0.0;83;Ветер, дующий с северо-северо-востока;2;;;40%.; ;;;07.апр;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;05.май;Осадков нет;12;;;;
25.09.2019 11:00;14.0;696.4;761.7;-0.3;63;Ветер, дующий с северо-востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;7.0;;;;;;
25.09.2019 14:00;21.авг;694.9;758.2;-1.5;40;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;07.апр;;;;;;
25.09.2019 17:00;23.мар;693.8;756.7;-1.1;36;Ветер, дующий с юга;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;07.фев;;;;;;
25.09.2019 20:00;15.июл;693.6;758.1;-0.2;58;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;24.янв;;;;;;;07.май;Осадков нет;12;;;;
25.09.2019 23:00;12.янв;692.9;758.3;-0.7;67;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;06.янв;;;;;;
26.09.2019 2:00;12.0;692.8;758.2;-0.1;65;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;05.май;;;;;;
26.09.2019 5:00;10.июн;694.4;760.3;01.июн;76;Ветер, дующий с северо-северо-востока;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;06.май;;;;;;
26.09.2019 8:00;11.мар;696.0;761.8;01.июн;69;Ветер, дующий с северо-запада;3;;;90  или более, но не 100%; ;;;08.фев;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;05.июл;Осадков нет;12;;;;
26.09.2019 11:00;13.авг;696.7;761.9;0.7;61;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;06.мар;;;;;;
26.09.2019 14:00;14.авг;696.2;761.2;-0.5;56;Ветер, дующий с востока;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;06.янв;;;;;;
26.09.2019 17:00;15.фев;695.6;760.5;-0.6;52;Ветер, дующий с северо-востока;2;;;20–30%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;05.фев;;;;;;
26.09.2019 20:00;10.июл;695.1;760.9;-0.5;68;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;16.фев;;;;;;;04.сен;Осадков нет;12;;;;
26.09.2019 23:00;9.0;694.0;760.2;-1.1;74;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;;04.июн;;;;;;
27.09.2019 2:00;07.фев;693.4;760.0;-0.6;83;Ветер, дующий с севера;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;04.май;;;;;;
27.09.2019 5:00;6.0;693.4;760.3;0.0;89;Ветер, дующий с севера;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;04.мар;;;;;;
27.09.2019 8:00;05.сен;695.3;762.4;01.сен;88;Ветер, дующий с северо-северо-запада;5;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Дождь.;05.июн;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;4.0;6.0;12;;;;
27.09.2019 11:00;02.май;698.3;766.6;3.0;91;Ветер, дующий с севера;1;;11;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;02.янв;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;01.янв;;;;;;
