Местное время в Икее;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
29.04.2020 2:00;08.апр;709.5;755.9;;76;;;;;; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;04.мар;;;;;;
28.04.2020 20:00;17.июн;710.5;755.5;;37;;;;;; ;;;;21.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;02.май;Осадков нет;12;;;;
28.04.2020 14:00;17.мар;713.9;759.2;;35;;;;;; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;01.июл;;;;;;
28.04.2020 8:00;0.2;716.9;765.3;;82;;;;;; ;;;-0.9;;;;2500 или более, или облаков нет.;;;50.0;-2.5;Осадков нет;12;;;;
28.04.2020 2:00;04.фев;717.0;764.8;;68;;;;;; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-1.3;;;;;;
27.04.2020 20:00;11.0;718.9;765.4;;56;;;;;; ;;;;14.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;02.апр;Осадков нет;12;;;;
27.04.2020 14:00;09.авг;719.8;766.8;;62;;;;;; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;02.авг;;;;;;
27.04.2020 8:00;6.0;720.7;768.3;;90;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;05.сен;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;04.апр;Следы осадков;12;;;;
27.04.2020 2:00;08.апр;720.7;767.8;;79;;;;;; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;5.0;;;;;;
26.04.2020 20:00;13.июл;721.2;767.5;;54;;;;;; ;;;;23.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;04.апр;Осадков нет;12;;;;
26.04.2020 14:00;20.май;719.8;764.9;;39;;;;10;; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;05.сен;;;;;;
26.04.2020 8:00;05.сен;717.2;764.6;;76;;;;;; ;;;02.июн;;;;2500 или более, или облаков нет.;;;50.0;01.сен;Осадков нет;12;;;;
26.04.2020 2:00;13.фев;714.8;760.7;;64;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;06.май;;;;;;
25.04.2020 20:00;25.июл;713.4;757.3;;30;;;;;; ;;;;28.июл;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;06.июн;Осадков нет;12;;;;
25.04.2020 14:00;26.апр;715.0;758.8;;36;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";50.0;10.янв;;;;;;
25.04.2020 8:00;07.май;716.9;764.0;;84;;;;;; ;;;05.апр;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;5.0;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);5.0;;
25.04.2020 2:00;11.июн;717.2;763.6;;69;;;;;; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;06.янв;;;;;;
24.04.2020 20:00;20.июл;716.7;761.5;;36;;;;;; ;;;;26.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;05.янв;Осадков нет;12;;;;
24.04.2020 14:00;24.фев;715.2;759.5;;26;;;;;; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;03.июл;;;;;;
24.04.2020 8:00;-1.6;715.5;764.2;;78;;;;;; ;;;-2.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-5.0;Осадков нет;12;;;;
24.04.2020 2:00;4.0;715.4;763.0;;58;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-3.6;;;;;;
23.04.2020 20:00;22.янв;715.6;760.2;;26;;;;;; ;;;;26.фев;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;01.апр;Осадков нет;12;;;;
23.04.2020 14:00;19.сен;717.6;762.7;;28;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;0.8;;;;;;
23.04.2020 8:00;-1.4;719.5;768.4;;76;;;;;; ;;;-3.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.1;Осадков нет;12;;;;
23.04.2020 2:00;0.7;719.8;768.4;;68;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-4.6;;;;;;
22.04.2020 20:00;17.мар;719.1;764.7;;29;;;;;; ;;;;19.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-0.8;Осадков нет;12;;;;
22.04.2020 14:00;14.авг;721.9;768.1;;33;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-1.6;;;;;;
22.04.2020 8:00;-2.0;724.0;773.3;;71;;;;;; ;;;-8.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-6.6;Осадков нет;12;;;;
22.04.2020 2:00;-0.8;726.0;775.3;;70;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-5.7;;;;;;
21.04.2020 20:00;09.июл;726.5;774.0;;33;;;;;; ;;;;11.июл;;;2500 или более, или облаков нет.;;;50.0;-6.1;Осадков нет;12;;;;
21.04.2020 14:00;07.сен;728.1;775.9;;30;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;-8.8;;;;;;
21.04.2020 8:00;-6.2;728.6;779.1;;81;;;;;; ;;;-9.2;;;;2500 или более, или облаков нет.;;;50.0;-8.9;Осадков нет;12;;;;
21.04.2020 2:00;-4.6;728.5;778.7;;69;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-9.4;;;;;;
20.04.2020 20:00;04.авг;728.7;777.1;;28;;;;;; ;;;;08.мар;;;2500 или более, или облаков нет.;;;50.0;-12.1;Осадков нет;12;;;;
20.04.2020 14:00;05.фев;729.9;778.3;;63;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;-1.3;;;;;;
20.04.2020 8:00;-7.0;730.6;781.3;;78;;;;;; ;;;-9.6;;;;2500 или более, или облаков нет.;;;50.0;-10.3;Осадков нет;12;;;;
20.04.2020 2:00;-3.0;729.3;779.2;;65;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-8.8;;;;;;
19.04.2020 20:00;5.0;727.8;776.1;;44;;;;;; ;;;;08.фев;;;2500 или более, или облаков нет.;;;50.0;-6.4;Осадков нет;12;;;;
19.04.2020 14:00;04.июн;729.4;778.0;;52;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;-4.6;;;;;;
19.04.2020 8:00;-2.2;729.2;778.9;;79;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-2.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-5.4;0.6;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;1.0
19.04.2020 2:00;-1.2;726.4;775.8;;75;;;;;; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-5.2;;;;;;
18.04.2020 20:00;4.0;725.2;773.5;;60;;;;;; ;;;;6.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-3.2;Осадков нет;12;;;;
18.04.2020 14:00;03.мар;723.9;772.2;;68;;;;;; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-2.1;;;;;;
18.04.2020 8:00;01.апр;720.7;769.1;;97;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;1.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;0.9;4.0;12;;;;
18.04.2020 2:00;02.янв;719.2;767.4;;95;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;01.мар;;;;;;
17.04.2020 14:00;10.янв;717.6;764.3;;49;;;;;; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-0.1;;;;;;
17.04.2020 8:00;02.янв;720.0;768.2;;95;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;2.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;01.мар;5.0;12;;;;
17.04.2020 2:00;06.июл;720.7;768.2;;87;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;04.июн;;;;;;
16.04.2020 20:00;11.авг;719.4;765.8;;73;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;17.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;7.0;Следы осадков;12;;;;
16.04.2020 14:00;15.янв;718.6;764.5;;35;;;;;; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-0.3;;;;;;
16.04.2020 8:00;-4.0;718.1;767.4;;87;;;;;; ;;;-4.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-5.9;Осадков нет;12;;;;
16.04.2020 2:00;0.3;717.4;765.9;;63;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-5.9;;;;;;
15.04.2020 20:00;13.авг;717.7;763.9;;38;;;;12;; ;;;;17.мар;;;2500 или более, или облаков нет.;;;50.0;-0.4;Осадков нет;12;;;;
15.04.2020 14:00;13.май;719.5;765.7;;31;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;-3.6;;;;;;
15.04.2020 8:00;-4.3;719.8;769.3;;87;;;;;; ;;;-7.0;;;;2500 или более, или облаков нет.;;;50.0;-6.2;Осадков нет;12;;;;
15.04.2020 2:00;-3.9;719.5;768.8;;85;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-6.1;;;;;;
14.04.2020 20:00;11.май;718.5;765.1;;37;;;;;; ;;;;13.сен;;;2500 или более, или облаков нет.;;;50.0;-2.8;Осадков нет;12;;;;
14.04.2020 14:00;11.апр;718.7;765.3;;36;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;-3.4;;;;;;
14.04.2020 8:00;-4.1;719.4;768.7;;91;;;;;; ;;;-6.7;;;;2500 или более, или облаков нет.;;;50.0;-5.3;Осадков нет;12;;;;
14.04.2020 2:00;-0.2;719.6;768.2;;84;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-2.6;;;;;;
13.04.2020 20:00;09.фев;719.8;766.9;;36;;;;;; ;;;;11.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.3;Осадков нет;12;;;;
13.04.2020 14:00;08.фев;721.2;768.5;;34;;;;;; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-6.7;;;;;;
13.04.2020 8:00;-5.0;722.8;772.6;;93;;;;;; ;;;-6.8;;;;2500 или более, или облаков нет.;;;50.0;-6.0;Осадков нет;12;;;;
13.04.2020 2:00;-2.6;723.1;772.6;;74;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-6.7;;;;;;
12.04.2020 20:00;6.0;723.9;771.7;;45;;;;;; ;;;;10.янв;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-5.2;Осадков нет;12;;;;
12.04.2020 14:00;05.фев;725.8;773.9;;50;;;;;; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.5;;;;;;
12.04.2020 8:00;-0.8;727.3;776.5;;91;;;;;; ;;;-1.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-2.1;Следы осадков;12;;;;
12.04.2020 2:00;-0.8;727.3;776.6;;88;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-2.6;;;;;;
11.04.2020 20:00;2.0;727.3;776.1;;87;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;04.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;0.1;Следы осадков;12;;;;
11.04.2020 14:00;02.май;727.9;776.7;;77;;;;;; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-1.1;;;;;;
11.04.2020 8:00;-0.6;728.0;777.4;;70;;;;;; ;;;-0.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;50.0;-5.5;Осадков нет;12;;;;
11.04.2020 2:00;01.сен;725.6;774.3;;66;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-3.8;;;;;;
10.04.2020 20:00;11.0;724.5;771.5;;47;;;;;; ;;;;14.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-0.1;Осадков нет;12;;;;
10.04.2020 14:00;09.авг;725.3;772.6;;55;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;01.янв;;;;;;
10.04.2020 8:00;2.0;724.8;773.4;;73;;;10;;; ;;;0.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-2.3;Осадков нет;12;;;;
10.04.2020 2:00;0.7;719.8;768.4;;70;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-4.3;;;;;;
09.04.2020 20:00;16.июл;717.3;762.9;;31;;;;;; ;;;;20.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-0.4;Осадков нет;12;;;;
09.04.2020 14:00;18.фев;718.5;763.9;;31;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;0.5;;;;;;
09.04.2020 8:00;-3.0;719.8;769.0;;88;;;;;; ;;;-4.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-4.7;Осадков нет;12;;;;
08.04.2020 20:00;12.янв;720.1;766.6;;36;;;;;; ;;;;17.янв;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-2.6;Осадков нет;12;;;;
08.04.2020 14:00;13.авг;720.2;766.5;;30;;;;10;; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-3.5;;;;;;
08.04.2020 8:00;-3.6;720.7;770.1;;86;;;;;; ;;;-4.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.7;Осадков нет;12;;;;
08.04.2020 2:00;0.6;720.1;768.7;;72;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-4.0;;;;;;
07.04.2020 20:00;07.май;719.1;766.4;;48;;;;;; ;;;;13.июн;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-2.9;Осадков нет;12;;;;
07.04.2020 14:00;10.мар;719.3;766.1;;41;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-2.6;;;;;;
07.04.2020 8:00;-3.4;719.2;768.5;;88;;;;;; ;;;-5.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.2;Осадков нет;12;;;;
07.04.2020 2:00;0.8;719.4;767.8;;64;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.3;;;;;;
06.04.2020 20:00;06.июл;721.1;768.7;;44;;;;14;; ;;;;08.сен;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-4.9;Осадков нет;12;;;;
06.04.2020 14:00;06.авг;722.4;770.1;;33;;;12;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;-8.4;;;;;;
06.04.2020 8:00;-1.5;723.6;772.8;;66;;;;10;; ;;;-2.3;;;;2500 или более, или облаков нет.;;;50.0;-7.1;Осадков нет;12;;;;
06.04.2020 2:00;-1.4;726.1;775.4;;51;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-10.4;;;;;;
05.04.2020 20:00;04.фев;727.7;776.2;;48;;;;;; ;;;;7.0;;;2500 или более, или облаков нет.;;;50.0;-6.0;Осадков нет;12;;;;
05.04.2020 14:00;04.сен;729.3;777.7;;42;;;10;;; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-7.1;;;;;;
05.04.2020 8:00;0.3;729.1;778.3;;72;;;;;; ;;;-1.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.2;Осадков нет;12;;;;
