Местное время в Иркутске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
23.08.2019 2:00;12.фев;719.1;760.2;-0.7;90;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;10.июн;;;;;;
23.08.2019 5:00;11.мар;718.0;759.1;-1.1;94;Ветер, дующий с востоко-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;10.мар;;;;;;
23.08.2019 8:00;12.июл;717.2;758.2;-0.8;83;Ветер, дующий с юго-востока;3;;;100%.; ;;;10.июн;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;09.сен;Осадков нет;12;Поверхность почвы влажная.;10.0;;
23.08.2019 11:00;20.0;715.9;755.8;-1.3;60;Ветер, дующий с юго-юго-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;12.0;;;;;;
23.08.2019 14:00;23.авг;714.4;753.6;-1.5;51;Ветер, дующий с юго-востока;4;10;10;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;13.0;;;;;;
23.08.2019 17:00;25.сен;713.2;752.0;-1.2;47;Ветер, дующий с юго-юго-востока;3;;10;90  или более, но не 100%; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;13.авг;;;;;;
23.08.2019 20:00;20.сен;713.1;752.5;-0.1;68;Ветер, дующий с юга;1;;;100%.; ;;;;26.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;14.июл;Осадков нет;12;;;;
23.08.2019 23:00;17.мар;713.3;753.4;0.2;74;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;12.май;;;;;;
24.08.2019 2:00;16.апр;712.9;753.1;-0.4;78;Ветер, дующий с юго-юго-востока;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;12.июн;;;;;;
24.08.2019 5:00;15.0;714.2;754.6;01.мар;86;Ветер, дующий с юго-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;12.июл;;;;;;
24.08.2019 8:00;18.май;715.3;755.2;01.янв;80;Ветер, дующий с запада;1;;;100%.; ;;;14.сен;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;15.0;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);13.0;;
24.08.2019 11:00;17.сен;716.5;756.7;01.фев;78;Ветер, дующий с северо-запада;2;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;14.0;;;;;;
24.08.2019 14:00;17.авг;717.3;757.5;0.8;76;Ветер, дующий с западо-северо-запада;4;;10;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;13.май;;;;;;
24.08.2019 17:00;15.фев;717.6;758.2;0.3;96;Ветер, дующий с запада;1;;10;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;14.июн;;;;;;
24.08.2019 20:00;14.фев;717.9;758.5;0.3;97;Ветер, дующий с запада;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;18.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;13.июл;4.0;12;;;;
24.08.2019 23:00;12.сен;718.6;759.5;0.7;98;Штиль, безветрие;0;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;12.июн;;;;;;
25.08.2019 2:00;11.сен;718.5;759.6;-0.1;98;Штиль, безветрие;0;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;11.июн;;;;;;
25.08.2019 5:00;10.мар;718.6;760.0;0.1;99;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;10.янв;;;;;;
25.08.2019 8:00;10.сен;718.6;759.9;0.0;99;Ветер, дующий с востоко-юго-востока;1;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;09.июл;;;;;;;0.05;10.июл;Осадков нет;12;Поверхность почвы влажная.;8.0;;
25.08.2019 11:00;17.0;718.8;759.2;0.2;74;Ветер, дующий с юго-востока;1;;;60%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;12.апр;;;;;;
25.08.2019 14:00;19.май;718.6;758.7;-0.2;60;Ветер, дующий с северо-запада;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;11.апр;;;;;;
25.08.2019 17:00;20.апр;718.9;758.9;0.3;46;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;08.мар;;;;;;
25.08.2019 20:00;14.янв;720.4;761.4;01.май;83;Ветер, дующий с западо-северо-запада;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;21.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;11.мар;0.3;12;;;;
25.08.2019 23:00;12.июл;721.4;762.6;1.0;91;Ветер, дующий с запада;2;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;11.мар;;;;;;
26.08.2019 2:00;13.0;721.6;762.8;0.2;80;Ветер, дующий с западо-северо-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;09.июн;;;;;;
26.08.2019 5:00;11.авг;722.1;763.5;0.5;88;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;09.сен;;;;;;
26.08.2019 8:00;12.фев;722.5;763.9;0.4;92;Ветер, дующий с западо-юго-запада;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;11.июл;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;10.сен;1.0;12;Поверхность почвы влажная.;13.0;;
26.08.2019 11:00;14.авг;722.4;763.3;-0.1;87;Ветер, дующий с запада;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;12.июл;;;;;;
26.08.2019 14:00;16.сен;722.1;762.7;-0.3;79;Ветер, дующий с северо-запада;2;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;13.фев;;;;;;
26.08.2019 17:00;20.июл;721.8;761.8;-0.3;55;Ветер, дующий с северо-запада;4;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;11.апр;;;;;;
26.08.2019 20:00;14.июл;722.8;763.8;1.0;88;Ветер, дующий с западо-северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;20.сен;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;12.июл;2.0;12;;;;
26.08.2019 23:00;12.фев;723.4;764.8;0.6;95;Ветер, дующий с западо-северо-запада;1;;;60%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;11.апр;;;;;;
27.08.2019 2:00;11.янв;723.8;765.4;0.4;96;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;10.апр;;;;;;
27.08.2019 5:00;09.апр;724.0;765.8;0.2;98;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;09.янв;;;;;;
27.08.2019 8:00;18.фев;724.8;765.4;0.8;63;Ветер, дующий с северо-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;10.сен;;;;;;
27.08.2019 11:00;18.фев;724.8;765.4;0.0;63;Ветер, дующий с северо-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;10.сен;;;;;;
27.08.2019 14:00;21.фев;724.0;764.1;-0.8;45;Ветер, дующий с севера;2;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;08.июн;;;;;;
27.08.2019 17:00;22.янв;723.4;763.4;-0.6;37;Ветер, дующий с северо-северо-востока;1;;;10%  или менее, но не 0; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;06.июн;;;;;;
27.08.2019 20:00;16.апр;723.1;763.9;-0.3;59;Штиль, безветрие;0;;;Облаков нет.; ;;;;22.мар;;;;;;50.0;08.мар;Осадков нет;12;;;;
27.08.2019 23:00;12.янв;723.7;765.1;0.6;91;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;10.июл;;;;;;
28.08.2019 2:00;08.июн;723.1;765.1;-0.6;93;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;07.май;;;;;;
28.08.2019 5:00;06.июл;722.8;765.0;-0.3;93;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;05.июл;;;;;;
28.08.2019 8:00;10.июл;722.8;764.4;0.0;80;Ветер, дующий с востоко-юго-востока;2;;;Облаков нет.; ;;;05.сен;;;;;;;50.0;07.апр;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);6.0;;
28.08.2019 11:00;18.апр;722.3;762.7;-0.5;53;Ветер, дующий с юго-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;08.май;;;;;;
28.08.2019 14:00;22.авг;721.3;761.1;-1.0;39;Ветер, дующий с юго-востока;5;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;08.фев;;;;;;
28.08.2019 17:00;23.фев;720.4;760.1;-0.9;40;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;08.июл;;;;;;
28.08.2019 20:00;17.0;720.9;761.4;0.5;68;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;24.янв;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;10.сен;Осадков нет;12;;;;
28.08.2019 23:00;14.фев;721.3;762.2;0.4;86;Ветер, дующий с юго-востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;11.авг;;;;;;
29.08.2019 2:00;11.июн;721.1;762.4;-0.2;93;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;10.май;;;;;;
29.08.2019 5:00;08.июл;721.5;763.3;0.4;93;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;07.июн;;;;;;
29.08.2019 8:00;09.июн;722.8;764.5;01.мар;93;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;08.янв;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;08.май;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);9.0;;
29.08.2019 11:00;15.мар;723.3;764.2;0.5;78;Ветер, дующий с северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;11.май;;;;;;
29.08.2019 14:00;21.авг;722.2;762.1;-1.1;60;Ветер, дующий с севера;1;;;20–30%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;13.июл;;;;;;
29.08.2019 17:00;24.май;721.4;760.9;-0.8;41;Ветер, дующий с севера;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;10.фев;;;;;;
29.08.2019 20:00;18.май;721.5;761.8;0.1;65;Ветер, дующий с северо-запада;1;;;60%.; ;;;;24.июл;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;11.июл;Осадков нет;12;;;;
29.08.2019 23:00;14.мар;722.0;763.0;0.5;93;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;13.янв;;;;;;
30.08.2019 2:00;13.янв;721.9;763.0;-0.1;96;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;12.май;;;;;;
30.08.2019 5:00;10.июн;721.6;763.0;-0.3;94;Ветер, дующий с востока;1;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;09.июл;;;;;;
30.08.2019 8:00;12.0;721.3;762.6;-0.3;88;Ветер, дующий с востока;1;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;10.янв;;;;;;;4.0;10.янв;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);10.0;;
30.08.2019 11:00;18.июн;720.7;760.9;-0.6;72;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10.0;13.май;;;;;;
30.08.2019 14:00;24.июн;719.2;758.5;-1.5;49;Ветер, дующий с запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;13.фев;;;;;;
30.08.2019 17:00;26.мар;718.3;757.3;-0.9;45;Ветер, дующий с западо-юго-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;13.мар;;;;;;
30.08.2019 20:00;19.авг;718.0;757.9;-0.3;68;Штиль, безветрие;0;;;Облаков нет.; ;;;;26.июл;;;;;;50.0;13.июн;Осадков нет;12;;;;
30.08.2019 23:00;17.фев;718.5;758.8;0.5;78;Ветер, дующий с востоко-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;13.мар;;;;;;
31.08.2019 2:00;14.май;718.1;758.8;-0.4;87;Ветер, дующий с востоко-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;12.мар;;;;;;
31.08.2019 5:00;12.сен;718.0;758.9;-0.1;91;Ветер, дующий с востоко-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;11.апр;;;;;;
31.08.2019 8:00;14.апр;718.0;758.8;0.0;87;Ветер, дующий с юго-востока;2;;;20–30%.; ;;;12.авг;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;12.фев;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);12.0;;
31.08.2019 11:00;21.мар;717.8;757.6;-0.2;60;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;13.фев;;;;;;
31.08.2019 14:00;24.июл;716.8;756.1;-1.0;52;Ветер, дующий с юго-востока;4;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;14.янв;;;;;;
31.08.2019 17:00;24.янв;716.5;755.7;-0.3;53;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;14.0;;;;;;
31.08.2019 20:00;19.июл;716.6;756.5;0.1;63;Ветер, дующий с юго-юго-востока;2;;;70 – 80%.; ;;;;25.мар;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;12.апр;Осадков нет;12;;;;
31.08.2019 23:00;15.июл;717.1;757.6;0.5;78;Ветер, дующий с юго-востока;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;11.авг;;;;;;
01.09.2019 2:00;14.мар;716.7;757.3;-0.4;85;Ветер, дующий с востоко-юго-востока;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;11.авг;;;;;;
01.09.2019 5:00;12.0;716.9;757.9;0.2;96;Ветер, дующий с востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;11.апр;;;;;;
01.09.2019 8:00;14.янв;717.4;758.2;0.5;81;Ветер, дующий с юго-юго-востока;1;;;90  или более, но не 100%; ;;;11.апр;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;10.авг;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);11.0;;
01.09.2019 11:00;21.янв;715.5;755.2;-1.9;60;Ветер, дующий с юга;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;13.0;;;;;;
01.09.2019 14:00;26.0;713.6;752.5;-1.9;49;Ветер, дующий с юго-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;14.июн;;;;;;
01.09.2019 17:00;25.фев;712.4;751.3;-1.2;56;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;15.июл;;;;;;
