Местное время в Томпе;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
28.09.2020 20:00;08.май;724.8;766.4;;71;Ветер, дующий с юга;4;;;100%.; ;;;;10.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;03.апр;0.5;12;;;;
29.09.2020 2:00;07.сен;723.7;765.4;;62;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;1.0;;;;;;
29.09.2020 8:00;05.апр;722.2;764.2;;77;Ветер, дующий с востоко-северо-востока;2;;;90  или более, но не 100%; ;;;04.авг;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;01.июн;Осадков нет;12;;;;
29.09.2020 14:00;9.0;720.7;761.3;;69;Ветер, дующий с юго-юго-запада;5;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;03.май;;;;;;
29.09.2020 20:00;8.0;719.2;760.6;;69;Ветер, дующий с юго-запада;2;;;100%.; ;;;;9.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;02.май;Осадков нет;12;;;;
30.09.2020 2:00;05.янв;718.8;760.6;;77;Ветер, дующий с севера;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;01.мар;;;;;;
30.09.2020 8:00;04.авг;718.1;760.0;;77;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;04.фев;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;1.0;Осадков нет;12;;;;
30.09.2020 14:00;06.авг;718.3;759.8;;92;Ветер, дующий с северо-востока;2;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;05.май;;;;;;
30.09.2020 20:00;03.май;720.6;762.8;;85;Ветер, дующий с севера;2;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;06.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;01.фев;11.0;12;;;;
01.10.2020 2:00;3.0;722.1;764.5;;63;Ветер, дующий с севера;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;2500 или более, или облаков нет.;;;;-3.5;;;;;;
01.10.2020 8:00;02.мар;722.5;765.1;;60;Ветер, дующий с севера;2;;;100%.; ;;;01.авг;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-4.8;Осадков нет;12;;;;
01.10.2020 14:00;04.мар;722.7;765.0;;51;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-5.0;;;;;;
01.10.2020 20:00;04.фев;723.4;765.7;;52;Ветер, дующий с севера;1;;;100%.; ;;;;04.мар;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-4.8;Осадков нет;12;;;;
02.10.2020 2:00;02.май;723.6;766.1;;60;Ветер, дующий с севера;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-4.6;;;;;;
02.10.2020 8:00;01.сен;724.1;766.8;;61;Ветер, дующий с севера;2;;;70 – 80%.; ;;;1.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.9;Осадков нет;12;;;;
02.10.2020 14:00;04.апр;724.9;767.3;;47;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-6.1;;;;;;
02.10.2020 20:00;03.янв;725.5;768.1;;63;Ветер, дующий с севера;1;;;100%.; ;;;;04.апр;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-3.3;Осадков нет;12;;;;
03.10.2020 2:00;01.апр;726.3;769.2;;72;Ветер, дующий с северо-северо-востока;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-3.1;;;;;;
03.10.2020 8:00;0.0;727.2;770.4;;74;Ветер, дующий с севера;1;;;70 – 80%.; ;;;-0.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-4.1;Осадков нет;12;;;;
03.10.2020 14:00;04.авг;727.8;770.3;;51;Ветер, дующий с севера;1;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.7;;;;;;
03.10.2020 20:00;01.июл;728.6;771.6;;68;Ветер, дующий с севера;1;;;100%.; ;;;;04.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-3.7;Осадков нет;12;;;;
04.10.2020 2:00;2.0;728.7;771.7;;51;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-7.3;;;;;;
04.10.2020 8:00;01.апр;728.7;771.8;;53;Ветер, дующий с севера;1;;;100%.; ;;;0.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-7.3;Осадков нет;12;;;;
04.10.2020 14:00;03.июн;728.4;771.1;;48;Ветер, дующий с западо-юго-запада;2;;;50%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-6.5;;;;;;
04.10.2020 20:00;-0.4;727.9;771.1;;66;Штиль, безветрие;0;;;20–30%.; ;;;;03.июн;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.0;Осадков нет;12;;;;
05.10.2020 2:00;-1.6;727.4;770.8;;68;Ветер, дующий с северо-северо-востока;2;;;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.8;;;;;;
05.10.2020 8:00;-1.3;727.1;770.5;;57;Ветер, дующий с северо-северо-востока;1;;;10%  или менее, но не 0; ;;;-3.6;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-8.9;Осадков нет;12;;;;
05.10.2020 14:00;05.сен;726.2;768.4;;52;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-3.4;;;;;;
05.10.2020 20:00;0.0;725.6;768.7;;78;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;05.сен;;;;;;;-3.4;Осадков нет;12;;;;
06.10.2020 2:00;-1.8;725.1;768.5;;80;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-4.9;;;;;;
06.10.2020 8:00;-1.4;724.6;767.8;;76;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;-3.8;;;;;;;50.0;-5.1;Осадков нет;12;;;;
06.10.2020 14:00;07.авг;723.4;765.1;;56;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-0.4;;;;;;
06.10.2020 20:00;01.апр;722.3;764.9;;82;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;07.авг;;;;;;;-1.4;Осадков нет;12;;;;
07.10.2020 2:00;-1.3;721.9;765.1;;79;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-4.6;;;;;;
07.10.2020 8:00;-1.4;721.4;764.5;;57;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;-3.6;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-9.0;Осадков нет;12;;;;
07.10.2020 14:00;06.июл;722.5;764.2;;59;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-0.9;;;;;;
07.10.2020 20:00;6.0;723.4;765.5;;76;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;06.июл;;;600-1000;;;;02.янв;Осадков нет;12;;;;
08.10.2020 2:00;04.апр;723.2;765.4;;71;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-0.4;;;;;;
08.10.2020 8:00;02.май;723.2;765.7;;97;Ветер, дующий с северо-северо-востока;1;;;100%.;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;01.апр;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;20.0;2.0;2.0;12;;;;
08.10.2020 14:00;09.мар;722.2;763.6;;63;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%;Облака в целом рассеиваются или становятся менее развитыми. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Дождь.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;02.май;;;;;;
08.10.2020 20:00;06.апр;721.6;763.5;;82;Штиль, безветрие;0;;;100%.; ;;;;09.мар;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;03.июн;Осадков нет;12;;;;
09.10.2020 2:00;04.май;721.1;763.2;;89;Ветер, дующий с северо-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Морось.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;02.авг;;;;;;
09.10.2020 8:00;02.авг;720.4;762.7;;97;Штиль, безветрие;0;;;100%.;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;02.июн;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;02.мар;2.0;12;;;;
09.10.2020 14:00;06.апр;718.7;760.3;;69;Ветер, дующий с северо-востока;1;;;90  или более, но не 100%;Облака в целом рассеиваются или становятся менее развитыми. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;01.янв;;;;;;
09.10.2020 20:00;04.авг;719.3;761.2;;60;Ветер, дующий с северо-запада;1;;;100%.;Облака в целом образовывались или развивались. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Дождь.;;06.апр;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-2.5;Следы осадков;12;;;;
10.10.2020 2:00;02.июл;720.4;762.7;;69;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-2.5;;;;;;
10.10.2020 8:00;02.мар;721.8;764.2;;67;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;-0.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-3.3;Осадков нет;12;;;;
10.10.2020 14:00;02.мар;723.3;765.9;;45;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-8.6;;;;;;
10.10.2020 20:00;-0.4;724.8;767.9;;45;Ветер, дующий с северо-запада;1;;;100%.; ;;;;02.мар;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-11.1;Осадков нет;12;;;;
11.10.2020 2:00;-2.6;724.0;767.5;;61;Ветер, дующий с северо-востока;1;;;10%  или менее, но не 0; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-9.1;;;;;;
11.10.2020 8:00;-3.4;722.8;766.3;;68;Ветер, дующий с северо-востока;1;;;90  или более, но не 100%; ;;;-6.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-8.5;Осадков нет;12;;;;
11.10.2020 14:00;01.июн;721.2;763.8;;69;Ветер, дующий с юго-юго-запада;8;;11;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые просвечивающие.;;50.0;-3.5;;;;;;
11.10.2020 20:00;0.5;720.1;;;64;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;01.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-5.7;Осадков нет;12;;;;
12.10.2020 2:00;-1.5;719.9;762.9;;99;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-1.7;;;;;;
12.10.2020 8:00;-4.2;720.9;764.4;;99;Ветер, дующий с севера;1;;;60%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-4.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.4;2.0;12;;;;
12.10.2020 14:00;02.фев;723.0;765.6;;56;Ветер, дующий с севера;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-5.7;;;;;;
12.10.2020 20:00;-0.1;725.4;768.5;;55;Ветер, дующий с севера;1;;;100%.; ;;;;02.фев;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-8.2;Осадков нет;12;;;;
13.10.2020 2:00;-5.0;726.6;770.5;;83;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-7.4;;;;;;
13.10.2020 8:00;-5.5;727.5;771.6;;77;Ветер, дующий с северо-северо-востока;2;;;70 – 80%.; ;;;-5.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-8.9;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;1.0
13.10.2020 14:00;1.0;727.3;770.5;;34;Ветер, дующий с запада;2;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-13.3;;;;;;
13.10.2020 20:00;-2.0;727.0;770.5;;55;Штиль, безветрие;0;;;100%.; ;;;;1.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-10.0;Осадков нет;12;;;;
14.10.2020 2:00;-4.0;726.1;769.9;;66;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-9.4;;;;;;
14.10.2020 8:00;-5.4;725.5;769.4;;70;Ветер, дующий с северо-северо-востока;2;;;20–30%.; ;;;-5.7;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.0;Осадков нет;12;;;;
14.10.2020 14:00;03.фев;725.5;768.1;;45;Ветер, дующий с юго-запада;3;;;10%  или менее, но не 0; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-7.6;;;;;;
14.10.2020 20:00;-0.3;725.8;769.0;;54;Ветер, дующий с северо-востока;2;;;60%.; ;;;;03.фев;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высокослоистые просвечивающие.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-8.6;Осадков нет;12;;;;
15.10.2020 2:00;-1.0;725.4;768.6;;79;Ветер, дующий с северо-востока;1;;;100%.;Облака в целом образовывались или развивались. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-4.2;;;;;;
15.10.2020 8:00;-0.8;723.8;767.8;;76;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;-1.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-4.6;0.2;12;;;;
15.10.2020 14:00;04.фев;723.5;765.8;;74;Ветер, дующий с юга;7;10;10;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;0.0;;;;;;
15.10.2020 20:00;04.фев;721.2;763.4;;66;Ветер, дующий с юга;6;;10;100%.; ;;;;04.фев;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-1.6;Осадков нет;12;;;;
16.10.2020 2:00;02.авг;716.8;758.9;;71;Ветер, дующий с юга;7;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-2.0;;;;;;
16.10.2020 8:00;04.авг;713.7;755.3;;79;Ветер, дующий с юга;8;;12;100%.; ;;;02.мар;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;01.май;Осадков нет;12;;;;
16.10.2020 14:00;05.фев;714.4;756.1;;77;Ветер, дующий с западо-юго-запада;6;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;01.апр;;;;;;
16.10.2020 20:00;2.0;720.4;762.8;;54;Ветер, дующий с запада;1;;;20–30%.; ;;;;05.фев;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.4;Осадков нет;12;;;;
17.10.2020 2:00;-1.9;723.7;767.0;;51;Ветер, дующий с востоко-северо-востока;1;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-10.8;;;;;;
17.10.2020 8:00;-1.9;723.7;767.0;;51;Ветер, дующий с востоко-северо-востока;1;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-10.8;;;;;;
17.10.2020 14:00;-0.4;724.8;767.9;;52;Ветер, дующий с юга;5;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-9.2;;;;;;
17.10.2020 20:00;0.6;722.5;765.6;;51;Ветер, дующий с юго-юго-востока;2;;;90  или более, но не 100%; ;;;;0.6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-8.5;Осадков нет;12;;;;
18.10.2020 2:00;03.фев;719.5;761.7;;72;Ветер, дующий с юго-юго-запада;7;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-1.5;;;;;;
18.10.2020 8:00;05.мар;717.9;759.7;;73;Ветер, дующий с юга;4;;10;100%.; ;;;-0.5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;0.7;Осадков нет;12;;;;
