Местное время в Максимово;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
21.02.2020 8:00;-6.0;734.2;768.1;;92;Ветер, дующий с юга;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-7.1;2.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;54.0
21.02.2020 20:00;-7.7;732.7;766.6;;96;Штиль, безветрие;0;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-2.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.3;1.0;12;;;;
22.02.2020 8:00;-5.5;727.3;760.7;;92;Ветер, дующий с юга;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-9.5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-6.6;0.8;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;56.0
22.02.2020 20:00;-8.6;726.7;760.4;;92;Штиль, безветрие;0;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-2.7;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-9.7;1.0;12;;;;
23.02.2020 8:00;-12.1;730.8;765.3;;95;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-12.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-12.7;1.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
23.02.2020 20:00;-5.8;736.6;770.5;;87;Штиль, безветрие;0;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-4.6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-7.6;0.4;12;;;;
24.02.2020 8:00;-10.4;739.4;774.1;;95;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-10.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;50.0;-11.0;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
24.02.2020 20:00;-4.8;739.9;773.9;;76;Штиль, безветрие;0;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-1.6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.4;0.5;12;;;;
25.02.2020 8:00;-17.9;740.5;776.4;;90;Штиль, безветрие;0;;;20–30%.; ;;;-18.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-19.1;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
25.02.2020 20:00;-10.8;739.1;773.9;;85;Ветер, дующий с севера;1;;;70 – 80%.; ;;;;-1.2;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.8;Осадков нет;12;;;;
26.02.2020 8:00;-27.5;739.8;776.9;;85;Штиль, безветрие;0;;;Облаков нет.; ;;;-27.5;;;;;;;50.0;-29.3;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
26.02.2020 20:00;-12.6;738.2;773.1;;85;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-14.6;Осадков нет;12;;;;
27.02.2020 8:00;-20.8;737.8;774.0;;85;Штиль, безветрие;0;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-21.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;20.0;-22.7;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
27.02.2020 20:00;-6.8;735.2;769.3;;64;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;;-2.1;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.5;0.2;12;;;;
28.02.2020 8:00;-24.6;733.2;769.7;;84;Штиль, безветрие;0;;;Облаков нет.; ;;;-24.7;;;;;;;50.0;-26.5;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
28.02.2020 20:00;-12.0;731.5;766.1;;75;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-15.5;Осадков нет;12;;;;
29.02.2020 8:00;-20.2;733.0;768.7;;85;Ветер, дующий с северо-северо-запада;1;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-24.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-22.1;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
29.02.2020 20:00;-6.0;733.6;767.5;;94;Штиль, безветрие;0;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;-2.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6.8;1.0;12;;;;
01.03.2020 8:00;-20.1;736.0;772.0;;89;Ветер, дующий с запада;1;;;40%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-20.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-21.4;0.7;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;63.0
01.03.2020 20:00;-14.4;741.4;776.6;;95;Штиль, безветрие;0;;;Облаков нет.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-5.9;;;;;;;-15.0;0.9;12;;;;
02.03.2020 8:00;-24.9;746.1;783.2;;84;Штиль, безветрие;0;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-27.6;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высокослоистые просвечивающие.;Перисто-слоистые, покрывающие все небо.;20.0;-26.8;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;64.0
02.03.2020 20:00;-16.4;744.9;780.7;;90;Штиль, безветрие;0;;;Облаков нет.; ;;;;-4.4;;;;;;;-17.7;Следы осадков;12;;;;
03.03.2020 8:00;-31.1;739.4;777.1;;85;Штиль, безветрие;0;;;Облаков нет.; ;;;-31.1;;;;;;;50.0;-32.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;63.0
03.03.2020 20:00;-3.3;728.9;762.2;;36;Ветер, дующий с юга;2;;;90  или более, но не 100%; ;;;;-1.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-16.5;Осадков нет;12;;;;
04.03.2020 8:00;-7.6;727.8;761.5;;93;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-8.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-8.6;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
04.03.2020 20:00;-9.0;727.6;761.6;;80;Ветер, дующий с западо-северо-запада;1;;;70 – 80%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-4.6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.9;0.4;12;;;;
05.03.2020 8:00;-15.4;726.4;761.2;;90;Штиль, безветрие;0;;;100%.; ;;;-17.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-16.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
05.03.2020 20:00;-3.0;724.6;757.8;;79;Ветер, дующий с юга;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-2.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-6.1;Следы осадков;12;;;;
06.03.2020 8:00;-3.0;719.1;751.9;;73;Ветер, дующий с юга;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-7.2;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;58.0
06.03.2020 20:00;-8.6;724.3;758.0;;60;Ветер, дующий с запада;3;;10;20–30%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Метель;;-0.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-15.1;2.0;12;;;;
07.03.2020 8:00;-14.0;730.9;765.7;;75;Ветер, дующий с юго-запада;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-14.7;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-17.5;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;59.0
07.03.2020 20:00;-13.5;718.9;768.7;;55;Штиль, безветрие;0;;;70 – 80%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-20.6;Осадков нет;12;;;;
08.03.2020 8:00;-26.8;738.7;775.7;;84;Штиль, безветрие;0;;;20–30%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-27.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-28.7;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;59.0
08.03.2020 20:00;-11.3;729.7;764.0;;55;Ветер, дующий с юга;4;;12;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;-10.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-18.6;Осадков нет;12;;;;
09.03.2020 8:00;-10.4;726.1;760.2;;90;Ветер, дующий с юга;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Метель;-11.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;10.0;-11.7;0.6;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;59.0
09.03.2020 20:00;-5.3;725.8;759.1;;90;Ветер, дующий с юга;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;-4.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, покрывающие все небо.;;-6.7;0.7;12;;;;
10.03.2020 8:00;-6.2;720.1;753.3;;97;Ветер, дующий с юга;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-6.6;2.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;61.0
10.03.2020 20:00;-4.8;722.9;756.1;;88;Ветер, дующий с северо-северо-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;-2.8;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6.5;2.0;12;;;;
11.03.2020 8:00;-29.8;736.5;773.9;;80;Ветер, дующий с запада;1;;;Облаков нет.; ;;;-29.9;;;;;;;50.0;-32.2;0.5;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;63.0
11.03.2020 20:00;-13.9;737.4;772.6;;65;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;-8.9;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-19.1;Осадков нет;12;;;;
12.03.2020 8:00;-8.1;729.9;763.9;;96;Ветер, дующий с юго-юго-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-16.1;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;4.0;-8.7;1.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;64.0
12.03.2020 20:00;-3.3;729.1;762.4;;79;Ветер, дующий с юго-запада;4;;10;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;-2.6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.5;2.0;12;;;;
13.03.2020 8:00;-3.1;731.4;764.8;;84;Ветер, дующий с юго-юго-запада;3;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-5.5;0.5;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;66.0
13.03.2020 20:00;-1.7;731.5;764.7;;89;Штиль, безветрие;0;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Метель;;-0.5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-3.3;0.4;12;;;;
14.03.2020 8:00;-3.6;730.7;764.1;;96;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-4.1;3.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;70.0
14.03.2020 20:00;-2.7;728.3;761.5;;100;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, небо видно, начался или усилился в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;;-2.7;1.0;12;;;;
15.03.2020 8:00;-12.9;726.4;760.8;;90;Штиль, безветрие;0;;;100%.; ;;;-12.9;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-14.2;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;67.0
15.03.2020 20:00;01.июн;724.0;756.5;;84;Ветер, дующий с юго-юго-запада;2;;12;100%.;Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;07.янв;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-0.9;0.3;12;;;;
16.03.2020 8:00;0.4;727.0;759.7;;87;Ветер, дующий с юго-запада;2;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;0.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;-1.6;0.7;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;64.0
16.03.2020 20:00;01.июн;722.6;755.0;;82;Ветер, дующий с юга;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-1.2;Следы осадков;12;;;;
17.03.2020 8:00;0.1;717.8;750.1;;86;Ветер, дующий с юго-запада;4;;;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;0.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-2.0;5.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;60.0
17.03.2020 20:00;-2.8;726.3;759.3;;82;Ветер, дующий с западо-северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;0.9;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-5.5;4.0;12;;;;
18.03.2020 8:00;-13.9;732.5;767.4;;85;Ветер, дующий с запада;1;;;Облаков нет.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-14.7;;;;;;;50.0;-15.9;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;66.0
18.03.2020 20:00;0.4;723.4;755.9;;33;Ветер, дующий с юго-юго-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Буря;Облака покрывали более половины неба в течение всего соответствующего периода.;;0.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-14.1;Осадков нет;12;;;;
19.03.2020 8:00;-2.5;722.7;755.5;;83;Ветер, дующий с запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-5.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;-5.1;0.7;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;63.0
19.03.2020 20:00;-3.4;725.2;758.2;;57;Ветер, дующий с северо-северо-запада;1;;;40%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Метель;;;Слоисто-кучевые, образовавшиеся из кучевых.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-10.8;0.9;12;;;;
20.03.2020 8:00;-12.4;725.8;760.0;;100;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;-12.6;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-12.4;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;65.0
20.03.2020 20:00;-3.4;725.6;758.8;;53;Ветер, дующий с юго-юго-запада;3;;;20–30%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Метель;;-1.3;Слоисто-кучевые, образовавшиеся из кучевых.;10%  или менее, но не 0;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-11.8;0.5;12;;;;
21.03.2020 8:00;-4.4;724.1;757.3;;96;Ветер, дующий с юго-юго-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-5.0;1.0;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;65.0
