Местное время в Узурах;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
13.12.2020 8:00;-18.0;730.1;776.4;;56;Ветер, дующий с западо-северо-запада;10;;19;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-24.7;;;;;;
13.12.2020 14:00;-16.0;730.3;776.2;;50;Ветер, дующий с западо-северо-запада;6;;11;40%.;Клочья приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-24.1;;;;;;
13.12.2020 20:00;-16.9;730.3;776.3;;63;Ветер, дующий с западо-северо-запада;3;;;20–30%.; ;;;;-15.6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-22.3;Осадков нет;12;;;;
14.12.2020 2:00;-16.0;729.4;775.2;;65;Ветер, дующий с северо-запада;3;;;10%  или менее, но не 0; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-21.2;;;;;;
14.12.2020 8:00;-21.7;728.4;775.3;;77;Ветер, дующий с запада;4;;;20–30%.; ;;;-21.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-24.6;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
14.12.2020 14:00;-11.3;727.7;772.6;;52;Ветер, дующий с запада;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высокослоистые просвечивающие.;Перисто-слоистые, покрывающие все небо.;20.0;-19.3;;;;;;
14.12.2020 20:00;-13.9;727.9;773.3;;71;Ветер, дующий с запада;2;;;100%.; ;;;;-11.2;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-18.0;Осадков нет;12;;;;
15.12.2020 2:00;-9.3;726.8;771.3;;63;Ветер, дующий с запада;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-15.2;;;;;;
15.12.2020 8:00;-11.1;726.9;771.7;;58;Ветер, дующий с запада;1;;;100%.; ;;;-14.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-17.8;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
15.12.2020 14:00;-9.0;725.9;770.3;;49;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-17.8;;;;;;
15.12.2020 20:00;-12.3;724.9;769.7;;76;Ветер, дующий с запада;3;;;100%.; ;;;;-8.6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-15.7;Осадков нет;12;;;;
16.12.2020 2:00;-6.1;723.4;767.1;;60;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высокослоистые просвечивающие.;Перисто-слоистые, покрывающие все небо.;;-12.6;;;;;;
16.12.2020 8:00;-8.4;723.2;767.3;;68;Ветер, дующий с запада;1;;;100%.; ;;;-12.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высокослоистые просвечивающие.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-13.4;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
16.12.2020 14:00;-5.3;724.0;767.7;;49;Ветер, дующий с западо-северо-запада;7;11;13;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-14.4;;;;;;
16.12.2020 20:00;-9.7;728.5;773.1;;44;Ветер, дующий с западо-северо-запада;7;12;17;100%.; ;;;;-4.5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-19.7;Осадков нет;12;;;;
17.12.2020 2:00;-14.1;732.1;777.7;;52;Ветер, дующий с западо-северо-запада;8;12;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-21.9;;;;;;
17.12.2020 8:00;-16.0;734.8;781.0;;58;Ветер, дующий с запада;6;;17;40%.; ;;;-16.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-22.5;Следы осадков;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
17.12.2020 14:00;-13.3;735.0;780.7;;55;Ветер, дующий с запада;5;;12;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-20.5;;;;;;
17.12.2020 20:00;-19.9;734.0;780.9;;77;Ветер, дующий с запада;4;;;20–30%.; ;;;;-12.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-22.9;Осадков нет;12;;;;
18.12.2020 2:00;-16.6;731.0;777.1;;78;Ветер, дующий с западо-северо-запада;3;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-19.6;;;;;;
18.12.2020 8:00;-11.6;728.8;773.8;;71;Ветер, дующий с северо-запада;3;;;20–30%.; ;;;-21.5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-15.9;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
18.12.2020 14:00;-6.8;727.6;771.7;;50;Ветер, дующий с запада;4;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высокослоистые просвечивающие.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";20.0;-15.5;;;;;;
18.12.2020 20:00;-6.0;728.1;772.1;;61;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;-6.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-12.3;Осадков нет;12;;;;
19.12.2020 2:00;-6.6;727.5;771.5;;67;Ветер, дующий с запада;3;;12;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-11.7;;;;;;
19.12.2020 8:00;-7.3;727.6;771.7;;73;Ветер, дующий с северо-запада;2;;10;100%.; ;;;-7.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-11.4;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
19.12.2020 14:00;-1.8;726.4;769.6;;40;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-13.7;;;;;;
19.12.2020 20:00;-1.9;724.8;767.9;;56;Ветер, дующий с западо-северо-запада;4;;;20–30%.; ;;;;-1.1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-9.7;Осадков нет;12;;;;
20.12.2020 2:00;-2.0;723.4;766.5;;43;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;50%.;600-1000;Высокослоистые просвечивающие.;Перисто-слоистые, покрывающие все небо.;;-12.9;;;;;;
20.12.2020 8:00;-1.1;723.1;766.0;;37;Ветер, дующий с западо-северо-запада;5;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высокослоистые просвечивающие.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-14.0;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
20.12.2020 14:00;0.5;722.3;764.9;;37;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-12.5;;;;;;
20.12.2020 20:00;-5.8;720.7;764.2;;63;Ветер, дующий с запада;3;;;100%.; ;;;;0.5;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-слоистые, покрывающие все небо.;;-11.8;Осадков нет;12;;;;
21.12.2020 2:00;-9.0;718.6;762.6;;78;Ветер, дующий с запада;3;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-12.1;;;;;;
21.12.2020 8:00;-4.0;717.7;760.8;;68;Ветер, дующий с северо-запада;4;;;100%.; ;;;-10.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые просвечивающие.;;;-9.1;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
21.12.2020 14:00;-2.1;717.4;760.1;;56;Ветер, дующий с запада;3;;;90  или более, но не 100%; ;;;;;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-9.7;;;;;;
21.12.2020 20:00;-2.3;719.5;762.4;;37;Ветер, дующий с западо-северо-запада;6;13;13;100%.; ;;;;-2.0;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-15.2;Осадков нет;12;;;;
22.12.2020 2:00;-5.1;720.9;764.3;;46;Ветер, дующий с запада;5;;10;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высокослоистые просвечивающие.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-15.0;;;;;;
22.12.2020 8:00;-9.4;721.3;765.4;;65;Ветер, дующий с западо-северо-запада;4;;;20–30%.; ;;;-9.6;;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-14.9;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
22.12.2020 14:00;-6.4;721.9;765.5;;47;Ветер, дующий с запада;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые просвечивающие.;;50.0;-15.9;;;;;;
22.12.2020 20:00;-7.6;723.7;766.6;;52;Ветер, дующий с запада;3;;12;100%.; ;;;;-6.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высокослоистые просвечивающие.;;;-15.9;Осадков нет;12;;;;
23.12.2020 2:00;-12.4;723.6;768.4;;63;Ветер, дующий с северо-запада;2;;11;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-18.1;;;;;;
23.12.2020 8:00;-15.1;722.1;767.3;;74;Ветер, дующий с запада;2;;;70 – 80%.; ;;;-18.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-18.7;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
23.12.2020 14:00;-9.2;719.8;763.8;;53;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;20.0;-17.1;;;;;;
23.12.2020 20:00;-9.4;719.0;763.0;;58;Ветер, дующий с западо-северо-запада;7;13;13;100%.; ;;;;-7.7;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-слоистые, покрывающие все небо.;;-16.2;Осадков нет;12;;;;
24.12.2020 2:00;-13.9;721.6;766.6;;48;Ветер, дующий с запада;4;;15;50%.; ;;;;;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.7;;;;;;
24.12.2020 8:00;-14.8;721.0;766.2;;38;Ветер, дующий с западо-северо-запада;2;;10;90  или более, но не 100%; ;;;-14.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-25.9;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
24.12.2020 14:00;-13.1;718.5;763.1;;54;Ветер, дующий с северо-северо-востока;2;;10;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-20.5;;;;;;
24.12.2020 20:00;-14.2;719.2;764.0;;60;Ветер, дующий с северо-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-12.9;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-20.3;Следы осадков;12;;;;
25.12.2020 2:00;-12.6;718.5;763.0;;72;Ветер, дующий с запада;4;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-16.6;;;;;;
25.12.2020 8:00;-14.0;719.3;764.2;;73;Ветер, дующий с севера;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-16.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые просвечивающие.;;;-17.9;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;Менее 0.5
25.12.2020 14:00;-11.4;719.4;763.8;;53;Ветер, дующий с западо-северо-запада;1;;10;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";50.0;-19.1;;;;;;
25.12.2020 20:00;-15.9;717.9;763.0;;77;Ветер, дующий с запада;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-11.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-19.0;Следы осадков;12;;;;
26.12.2020 2:00;-10.0;717.2;761.2;;85;Ветер, дующий с востоко-юго-востока;6;;11;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-12.1;;;;;;
26.12.2020 8:00;-11.1;719.6;764.0;;79;Ветер, дующий с запада;7;12;12;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;-15.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-14.0;2.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;2.0
26.12.2020 14:00;-13.6;722.7;767.7;;46;Ветер, дующий с западо-северо-запада;4;;17;70 – 80%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-22.9;;;;;;
26.12.2020 20:00;-18.0;726.2;772.3;;48;Ветер, дующий с западо-северо-запада;10;15;15;20–30%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-10.9;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-26.3;Следы осадков;12;;;;
27.12.2020 2:00;-21.1;727.6;774.2;;57;Ветер, дующий с западо-северо-запада;10;16;19;20–30%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-27.5;;;;;;
27.12.2020 8:00;-23.3;728.5;775.7;;55;Ветер, дующий с западо-северо-запада;11;18;19;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;-23.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-29.8;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
