"Местное время в Алыгджере";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.12.2017 02:00";"-5.6";"698.0";"775.4";"";"60";"Ветер, дующий с юга";"6";"10";"10";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-12.2";"";"";"";"";"";"";
"16.12.2017 20:00";"-6.5";"691.0";"776.2";"";"73";"Ветер, дующий с юга";"8";"10";"10";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-4.1";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"4.0";"-10.6";"0.1";"12";"";"";"";"";
"16.12.2017 14:00";"-5.6";"691.1";"776.0";"";"53";"Ветер, дующий с юга";"6";"10";"10";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"20.0";"-13.8";"";"";"";"";"";"";
"16.12.2017 08:00";"-7.5";"693.9";"779.8";"";"66";"Ветер, дующий с юга";"10";"12";"14";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"-11.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-12.9";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"1.0";
"16.12.2017 02:00";"-9.6";"696.0";"782.8";"";"54";"Ветер, дующий с юго-юго-востока";"6";"";"12";"100%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"50.0";"-17.3";"";"";"";"";"";"";
"15.12.2017 20:00";"-11.0";"697.6";"785.2";"";"55";"Ветер, дующий с юго-юго-востока";"10";"14";"14";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-10.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высокослоистые просвечивающие.";"";"50.0";"-18.3";"Следы осадков";"12";"";"";"";"";
"15.12.2017 14:00";"-10.5";"697.6";"785.0";"";"60";"Ветер, дующий с юго-юго-востока";"10";"12";"12";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-16.8";"";"";"";"";"";"";
"15.12.2017 08:00";"-12.5";"697.1";"785.2";"";"71";"Ветер, дующий с юго-юго-востока";"4";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"-12.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-16.8";"0.4";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"1.0";
"14.12.2017 20:00";"-11.5";"695.5";"782.9";"";"65";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"-10.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"2500 или более, или облаков нет.";"";"";"";"-16.8";"Следы осадков";"12";"";"";"";"";
"14.12.2017 14:00";"-10.5";"692.3";"779.1";"";"40";"Ветер, дующий с юго-юго-запада";"4";"";"12";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-21.5";"";"";"";"";"";"";
"14.12.2017 08:00";"-12.0";"690.7";"777.8";"";"45";"Ветер, дующий с востоко-юго-востока";"10";"12";"12";"20–30%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-12.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-21.5";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"1.0";
"14.12.2017 02:00";"-12.2";"690.9";"776.5";"";"50";"Ветер, дующий с юго-юго-запада";"2";"";"";"Облаков нет.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"50.0";"-20.5";"";"";"";"";"";"";
"13.12.2017 20:00";"-10.8";"690.7";"777.4";"";"55";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"-10.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"50.0";"-18.1";"Следы осадков";"12";"";"";"";"";
"13.12.2017 14:00";"-11.0";"689.7";"776.3";"";"70";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"50.0";"-15.4";"";"";"";"";"";"";
"13.12.2017 08:00";"-15.0";"688.9";"776.7";"";"94";"Штиль, безветрие";"0";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-18.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"4.0";"-15.7";"0.7";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"1.0";
"13.12.2017 02:00";"-16.5";"687.1";"775.3";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"4.0";"-16.5";"";"";"";"";"";"";
"12.12.2017 20:00";"-14.5";"685.0";"772.2";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-13.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-15.1";"0.5";"12";"";"";"";"";
